Rk,Year,Date,G#,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Y/A,AY/A
113,2008,2008-09-07,1,31-035,NWE,,KAN,W 17-10,*,7,11,63.64,76,0,0,83.9,0,6.91,6.91
114,2009,2009-09-14,1,32-042,NWE,,BUF,W 25-24,*,39,53,73.58,378,2,1,97.8,1,7.13,7.04
115,2009,2009-09-20,2,32-048,NWE,@,NYJ,L 9-16,*,23,47,48.94,216,0,1,53.1,0,4.6,3.64
116,2009,2009-09-27,3,32-055,NWE,,ATL,W 26-10,*,25,42,59.52,277,1,0,87.1,0,6.6,7.07
117,2009,2009-10-04,4,32-062,NWE,,BAL,W 27-21,*,21,32,65.63,258,1,0,100.8,3,8.06,8.69
118,2009,2009-10-11,5,32-069,NWE,@,DEN,L 17-20,*,19,33,57.58,215,2,0,97.4,1,6.52,7.73
119,2009,2009-10-18,6,32-076,NWE,,TEN,W 59-0,*,29,34,85.29,380,6,0,152.8,2,11.18,14.71
120,2009,2009-10-25,7,32-083,NWE,@,TAM,W 35-7,*,23,32,71.88,308,3,2,107.3,1,9.63,8.69
121,2009,2009-11-08,8,32-097,NWE,,MIA,W 27-17,*,25,37,67.57,332,1,1,93.5,2,8.97,8.3
122,2009,2009-11-15,9,32-104,NWE,@,IND,L 34-35,*,29,42,69.05,375,3,1,110.7,2,8.93,9.29
123,2009,2009-11-22,10,32-111,NWE,,NYJ,W 31-14,*,28,41,68.29,310,1,0,98.6,2,7.56,8.05
124,2009,2009-11-30,11,32-119,NWE,@,NOR,L 17-38,*,21,36,58.33,237,0,2,55,1,6.58,4.08
125,2009,2009-12-06,12,32-125,NWE,@,MIA,L 21-22,*,19,29,65.52,352,2,2,101.5,0,12.14,10.41
126,2009,2009-12-13,13,32-132,NWE,,CAR,W 20-10,*,19,32,59.38,192,1,1,74,0,6,5.22
127,2009,2009-12-20,14,32-139,NWE,@,BUF,W 17-10,*,11,23,47.83,115,1,1,59.1,0,5,3.91
128,2009,2009-12-27,15,32-146,NWE,,JAX,W 35-7,*,23,26,88.46,267,4,0,149,0,10.27,13.35
129,2009,2010-01-03,16,32-153,NWE,@,HOU,L 27-34,*,17,26,65.38,186,0,1,70.4,1,7.15,5.42
130,2010,2010-09-12,1,33-040,NWE,,CIN,W 38-24,*,25,35,71.43,258,3,0,120.9,0,7.37,9.09
131,2010,2010-09-19,2,33-047,NWE,@,NYJ,L 14-28,*,20,36,55.56,248,2,2,72.5,1,6.89,5.5
132,2010,2010-09-26,3,33-054,NWE,,BUF,W 38-30,*,21,27,77.78,252,3,0,142.6,1,9.33,11.56
133,2010,2010-10-04,4,33-062,NWE,@,MIA,W 41-14,*,19,24,79.17,153,1,0,107.1,3,6.38,7.21
134,2010,2010-10-17,5,33-075,NWE,,BAL,W 23-20,*,27,44,61.36,292,1,2,69.5,3,6.64,5.05
