Rk,Year,Date,G#,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Y/A,AY/A
222,2015,2015-12-13,13,38-132,NWE,@,HOU,W 27-6,*,22,30,73.33,226,2,0,116.8,3,7.53,8.87
223,2015,2015-12-20,14,38-139,NWE,,TEN,W 33-16,*,23,35,65.71,267,2,0,107.7,2,7.63,8.77
224,2015,2015-12-27,15,38-146,NWE,@,NYJ,L 20-26,*,22,31,70.97,231,1,1,89.6,2,7.45,6.65
225,2015,2016-01-03,16,38-153,NWE,@,MIA,L 10-20,*,12,21,57.14,134,0,0,76.3,2,6.38,6.38
226,2016,2016-10-09,5,39-067,NWE,@,CLE,W 33-13,*,28,40,70,406,3,0,127.7,1,10.15,11.65
227,2016,2016-10-16,6,39-074,NWE,,CIN,W 35-17,*,29,35,82.86,376,3,0,140,3,10.74,12.46
228,2016,2016-10-23,7,39-081,NWE,@,PIT,W 27-16,*,19,26,73.08,222,2,0,124.2,0,8.54,10.08
229,2016,2016-10-30,8,39-088,NWE,@,BUF,W 41-25,*,22,33,66.67,315,4,0,137,4,9.55,11.97
230,2016,2016-11-13,9,39-102,NWE,,SEA,L 24-31,*,23,32,71.88,316,0,1,90.1,2,9.88,8.47
231,2016,2016-11-20,10,39-109,NWE,@,SFO,W 30-17,*,24,40,60,280,4,0,114.6,1,7,9
232,2016,2016-11-27,11,39-116,NWE,@,NYJ,W 22-17,*,30,50,60,286,2,0,89.2,0,5.72,6.52
233,2016,2016-12-04,12,39-123,NWE,,LAR,W 26-10,*,33,46,71.74,269,1,0,93.5,0,5.85,6.28
234,2016,2016-12-12,13,39-131,NWE,,BAL,W 30-23,*,25,38,65.79,406,3,1,116.8,1,10.68,11.08
235,2016,2016-12-18,14,39-137,NWE,@,DEN,W 16-3,*,16,32,50,188,0,0,68.2,2,5.88,5.88
236,2016,2016-12-24,15,39-143,NWE,,NYJ,W 41-3,*,17,27,62.96,214,3,0,124.6,1,7.93,10.15
237,2016,2017-01-01,16,39-151,NWE,@,MIA,W 35-14,*,25,33,75.76,276,3,0,130.4,0,8.36,10.18
,,237 Games,,,,,,183-54-0,,5244,8224,63.76,61582,456,152,97.2,417,7.49,7.77
